Hafta Başlangıcı,Hafta Bitişi,Veri Tarihi,Güncelleme Zamanı,Meta Harcama,Meta Mesaj,Mesaj Maliyeti,Yeni Lead,Olumlu Kapanan,Olumsuz Kapanan,Kapanış Dönüşüm %,CRM Toplam,Aktif Pipeline,Öncelikli Takip,Sıcak Müşteri,Teklif Bekleyen,Toplam Görev,Açık Görev,Bekleyen Görev,Devam Eden Görev,Gecikmiş Görev,Bu Hafta Açılan Görev,Bu Hafta Tamamlanan Görev,Meta Durumu,Bitrix Durumu,Görev Durumu
2026-08-17,2026-08-23,2026-08-23,2026-08-23T20:59:15.079Z,3841.9099999999994,108,35.57324074074074,142,0,103,0,8761,1282,194,79,115,349,242,161,74,7,1,41,aktif,aktif,aktif
2026-08-24,2026-08-30,2026-08-30,2026-08-30T20:02:47.640Z,3786.45,115,32.92565217391304,140,0,64,0,8901,1359,219,82,137,350,243,161,74,8,1,0,aktif,aktif,aktif
2026-08-31,2026-09-06,2026-09-06,2026-09-06T19:11:33.636Z,3732.1900000000005,127,29.387322834645673,133,0,133,0,9034,1362,265,72,193,350,243,161,74,8,0,0,aktif,aktif,aktif
2026-09-07,2026-09-13,2026-09-13,2026-09-13T19:50:15.123Z,3754.69,99,37.926161616161615,132,0,39,0,9171,1461,306,82,224,350,243,161,74,8,0,0,aktif,aktif,aktif
2026-09-14,2026-09-20,2026-09-20,2026-09-20T18:48:25.258Z,3831.919999999999,102,37.5678431372549,129,0,65,0,9301,1527,344,96,248,350,239,157,74,8,0,4,aktif,aktif,aktif
2026-09-21,2026-09-27,2026-09-23,2026-09-23T06:24:24.365Z,479.77,22,21.807727272727274,27,0,12,0,9328,1542,356,91,265,350,239,157,74,8,0,0,aktif,aktif,aktif
